date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643673600,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643673900,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643674200,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643674500,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643674800,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643675100,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643675400,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643675700,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643676000,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643676300,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643676600,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643676900,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643677200,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643677500,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643677800,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643678100,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643678400,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643678700,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643679000,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643679300,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643679600,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643679900,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643680200,GLM,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0,8.85e-06
1643680500,GLM,8.9e-06,8.9e-06,8.9e-06,8.9e-06,22.0,0.00020391,8.9e-06
1643680800,GLM,8.9e-06,8.9e-06,8.9e-06,8.9e-06,0.0,0.0,8.9e-06
1643681100,GLM,8.9e-06,8.9e-06,8.9e-06,8.9e-06,0.0,0.0,8.9e-06
