date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643673600,reversed_TUSD,2.608479488612813e-05,2.599180842165783e-05,2.599180842165783e-05,2.6009107869393703e-05,7082221.01,184.377947,2.6033917508408302e-05
1643673900,reversed_TUSD,2.601277487374049e-05,2.586970721958854e-05,2.6009107869393703e-05,2.589310497686192e-05,33402324.68,866.405867,2.5938493606420716e-05
1643674200,reversed_TUSD,2.5961490283003613e-05,2.5895163430850205e-05,2.5895163430850205e-05,2.5961490283003613e-05,3933024.32,101.983754,2.5930113159013827e-05
1643674500,reversed_TUSD,2.6095645237009784e-05,2.595673272222532e-05,2.5959374098722977e-05,2.6080583787787508e-05,4290222.58,111.594998,2.601147574286824e-05
1643674800,reversed_TUSD,2.608509427283496e-05,2.600313597819897e-05,2.6078597764229656e-05,2.600313597819897e-05,18019916.03,468.793442,2.601529907708125e-05
1643675100,reversed_TUSD,2.602082967415416e-05,2.60054892386685e-05,2.6019766696363894e-05,2.60054892386685e-05,3945142.67,102.62857,2.6013911719709467e-05
1643675400,reversed_TUSD,2.604578379967875e-05,2.5973310864687884e-05,2.60054892386685e-05,2.603841186518352e-05,6285507.27,163.440247,2.600271676384749e-05
1643675700,reversed_TUSD,2.607691804207198e-05,2.602403944619803e-05,2.603541545493504e-05,2.607630605134581e-05,19967059.81,519.814421,2.603359896282141e-05
1643676000,reversed_TUSD,2.610531877596337e-05,2.607630605134581e-05,2.607630605134581e-05,2.608327084216361e-05,7327588.63,191.156043,2.6087169755996267e-05
1643676300,reversed_TUSD,2.610597983574117e-05,2.6027290655343757e-05,2.608327084216361e-05,2.607775447585539e-05,20851971.71,543.091931,2.6045112217970504e-05
1643676600,reversed_TUSD,2.607775447585539e-05,2.605840783649287e-05,2.607775447585539e-05,2.6064085853013676e-05,4019206.91,104.758023,2.606435759047525e-05
1643676900,reversed_TUSD,2.6086836295450117e-05,2.6061857819534664e-05,2.6063440499250416e-05,2.6061857819534664e-05,2569732.51,67.007969,2.6075857276402783e-05
1643677200,reversed_TUSD,2.607759806545947e-05,2.6009994080125343e-05,2.607063630341319e-05,2.6072043312964117e-05,18401354.25,478.801311,2.601989533236904e-05
1643677500,reversed_TUSD,2.6072131680951157e-05,2.600231108540927e-05,2.6072043312964117e-05,2.603555780271348e-05,17104349.97,444.860371,2.6008614052974344e-05
1643677800,reversed_TUSD,2.6058978243098475e-05,2.602324708708784e-05,2.6035578138237463e-05,2.6029262096448827e-05,5663520.58,147.428353,2.6031227059981157e-05
1643678100,reversed_TUSD,2.6077550462667897e-05,2.604180230105365e-05,2.6042941685686693e-05,2.607754366228329e-05,3191896.64,83.165239,2.6055121694354145e-05
1643678400,reversed_TUSD,2.608815657694167e-05,2.607754366228329e-05,2.607754366228329e-05,2.6084250564267552e-05,3829694.64,99.889179,2.608280822119682e-05
1643678700,reversed_TUSD,2.611502676920819e-05,2.6084128094979617e-05,2.6084250564267552e-05,2.609617641432795e-05,10106789.81,263.72425,2.6093772668965006e-05
1643679000,reversed_TUSD,2.6112469539804285e-05,2.6091321713302297e-05,2.609617641432795e-05,2.6110396846699595e-05,6258362.67,163.358988,2.610251816213213e-05
1643679300,reversed_TUSD,2.6110396846699595e-05,2.609897566740301e-05,2.6110396846699595e-05,2.609897566740301e-05,9487635.79,247.675902,2.6105127960810982e-05
1643679600,reversed_TUSD,2.611890789532795e-05,2.6093718198280943e-05,2.609897566740301e-05,2.611338326560392e-05,11689931.58,305.172565,2.610559137387723e-05
1643679900,reversed_TUSD,2.6172926620012555e-05,2.6112721830836043e-05,2.6114767613823173e-05,2.6171131985205985e-05,14795617.4,386.862446,2.6147099397675416e-05
1643680200,reversed_TUSD,2.6190632710685963e-05,2.612496721316615e-05,2.617109773884333e-05,2.6133235072369463e-05,10882263.28,284.698565,2.6161710766590446e-05
